,latitude,longitude,cluster_label
0,20.593684,78.96288,1
1,42.230171,-71.530106,15
2,20.593684,78.96288,1
3,40.349457,-88.986137,14
4,42.35843,-71.05977,15
5,25.77427,-80.19366,10
6,39.9075,116.39723,26
7,30.26715,-97.74306,12
8,28.65195,77.23149,1
9,41.85003,-87.65005,14
10,7.41251,-7.55383,8
11,52.48142,-1.89983,16
12,35.86166,104.195397,9
13,41.87194,12.56738,2
14,64.963051,-19.020835,16
15,37.76521,-122.24164,3
16,33.44838,-112.07404,3
17,31.054487,-97.563461,12
18,21.52536,-78.22579,10
19,30.07994,-95.41716,12
20,21.52536,-78.22579,10
21,51.45625,-0.97113,16
22,51.75222,-1.25596,16
23,40.4165,-3.70256,24
24,32.71571,-117.16472,3
25,42.35843,-71.05977,15
26,37.09024,-95.712891,12
27,50.50301,13.63617,25
28,47.60621,-122.33207,19
29,36.116203,-119.618564,3
30,36.116203,-119.618564,3
31,42.230171,-71.530106,15
32,25.77427,-80.19366,10
33,39.063946,-76.802101,5
34,47.538569,-90.290189,0
35,36.116203,-119.618564,3
36,43.10012,-79.06627,5
37,-37.814,144.96332,7
38,39.73915,-104.9847,27
39,34.05223,-118.24368,3
40,42.230171,-71.530106,15
41,42.26259,-71.80229,15
42,-25.274398,133.775136,7
43,33.44838,-112.07404,3
44,-25.63473,27.78022,11
45,44.64533,-63.57239,15
46,42.230171,-71.530106,15
47,52.2,0.11667,16
48,40.349457,-88.986137,14
49,21.52536,-78.22579,10
50,41.89193,12.51133,2
51,40.48622,-74.45182,15
52,14.6982,121.1236,18
53,40.349457,-88.986137,14
54,42.25288,-71.00227,15
55,47.60621,-122.33207,19
56,30.58333,114.26667,26
57,50.50301,13.63617,25
58,32.78306,-96.80667,12
59,36.204824,138.252924,4
60,39.063946,-76.802101,5
61,30.58333,114.26667,26
62,34.05223,-118.24368,3
63,22.27832,114.17469,26
64,34.06334,-117.65089,3
65,32.71571,-117.16472,3
66,37.919479,-121.951543,3
67,31.046051,34.851612,20
68,42.35843,-71.05977,15
69,36.116203,-119.618564,3
70,21.52536,-78.22579,10
71,31.054487,-97.563461,12
72,31.054487,-97.563461,12
73,36.116203,-119.618564,3
74,51.75222,-1.25596,16
75,21.52536,-78.22579,10
76,42.230171,-71.530106,15
77,21.52536,-78.22579,10
78,40.298904,-74.521011,15
79,31.054487,-97.563461,12
80,1.28967,103.85007,28
81,42.35843,-71.05977,15
82,-14.235004,-51.92528,6
83,40.6976,-74.2632,15
84,39.063946,-76.802101,5
85,22.40694,-79.96472,10
86,36.116203,-119.618564,3
87,17.38405,78.45636,1
88,40.463667,-3.74922,24
89,42.230171,-71.530106,15
90,42.230171,-71.530106,15
91,36.116203,-119.618564,3
92,34.27834,-119.29317,3
93,40.150032,-111.862434,27
94,42.230171,-71.530106,15
95,42.230171,-71.530106,15
96,20.593684,78.96288,1
97,44.268543,-89.616508,14
98,31.054487,-97.563461,12
99,37.09024,-95.712891,12
100,36.116203,-119.618564,3
101,47.60621,-122.33207,19
102,51.50853,-0.12574,16
103,51.165691,10.451526,25
104,7.946527,-1.023194,8
105,37.77493,-122.41942,3
106,54.9,-1.51667,16
107,33.95335,-117.39616,3
108,38.525182,-122.92611,3
109,42.230171,-71.530106,15
110,37.76521,-122.24164,3
111,36.116203,-119.618564,3
112,40.298904,-74.521011,15
113,-14.235004,-51.92528,6
114,35.86166,104.195397,9
115,-16.290154,-63.588653,6
116,42.35843,-71.05977,15
117,38.051817,-122.745974,3
118,42.35843,-71.05977,15
119,36.116203,-119.618564,3
120,42.230171,-71.530106,15
121,31.054487,-97.563461,12
122,20.593684,78.96288,1
123,22.40694,-79.96472,10
124,40.349457,-88.986137,14
125,45.41117,-75.69812,15
126,37.77493,-122.41942,3
127,21.52536,-78.22579,10
128,42.230171,-71.530106,15
129,37.09024,-95.712891,12
130,33.95335,-117.39616,3
131,35.86166,104.195397,9
132,37.77493,-122.41942,3
133,42.35843,-71.05977,15
134,47.60621,-122.33207,19
135,36.31667,139.58333,4
136,40.463667,-3.74922,24
137,20.593684,78.96288,1
138,30.58333,114.26667,26
139,21.52536,-78.22579,10
140,40.463667,-3.74922,24
141,33.95335,-117.39616,3
142,43.452492,-71.563896,15
143,35.86166,104.195397,9
144,42.230171,-71.530106,15
145,40.349457,-88.986137,14
146,27.94752,-82.45843,10
147,42.35843,-71.05977,15
148,36.116203,-119.618564,3
149,31.054487,-97.563461,12
150,41.89193,12.51133,2
151,35.907757,127.766922,4
152,42.3876,-71.0995,15
153,36.116203,-119.618564,3
154,40.5142,-88.99063,14
155,39.849426,-86.258278,14
156,51.75222,-1.25596,16
157,45.694454,-93.900192,0
158,31.054487,-97.563461,12
159,41.87194,12.56738,2
160,21.52536,-78.22579,10
161,40.388783,-82.764915,5
162,36.84681,-76.28522,5
163,42.230171,-71.530106,15
164,42.35843,-71.05977,15
165,34.06334,-117.65089,3
166,37.919479,-121.951543,3
167,36.116203,-119.618564,3
168,41.89193,12.51133,2
169,30.58333,114.26667,26
170,38.051817,-122.745974,3
171,-40.900557,174.885971,7
172,35.86166,104.195397,9
173,42.35843,-71.05977,15
174,54.9,-1.51667,16
175,40.349457,-88.986137,14
176,22.27832,114.17469,26
177,41.87194,12.56738,2
178,34.06334,-117.65089,3
179,22.71792,75.8333,1
180,34.05223,-118.24368,3
181,32.427908,53.688046,13
182,41.89193,12.51133,2
183,37.33939,-121.89496,3
184,36.116203,-119.618564,3
185,20.593684,78.96288,1
186,33.72835,-117.14642,3
187,40.71427,-74.00597,15
188,31.054487,-97.563461,12
189,35.86166,104.195397,9
190,36.116203,-119.618564,3
191,37.54827,-121.98857,3
192,35.86166,104.195397,9
193,61.52401,105.318756,23
194,35.86166,104.195397,9
195,34.42083,-119.69819,3
196,39.09973,-94.57857,14
197,31.054487,-97.563461,12
198,47.538569,-90.290189,0
199,54.9,-1.51667,16
200,34.802075,38.996815,20
201,45.694454,-93.900192,0
202,42.230171,-71.530106,15
203,37.77493,-122.41942,3
204,47.60621,-122.33207,19
205,42.230171,-71.530106,15
206,42.35843,-71.05977,15
207,40.590752,-77.209755,5
208,21.52536,-78.22579,10
209,36.116203,-119.618564,3
210,31.75872,-106.48693,27
211,34.05223,-118.24368,3
212,37.77493,-122.41942,3
213,42.230171,-71.530106,15
214,21.52536,-78.22579,10
215,34.09834,-118.32674,3
216,37.77493,-122.41942,3
217,35.6895,139.69171,4
218,56.130366,-106.346771,17
219,39.062032,-120.722718,3
220,36.116203,-119.618564,3
221,31.054487,-97.563461,12
222,23.69781,120.960515,26
223,33.44838,-112.07404,3
224,42.230171,-71.530106,15
225,47.490599,-121.833996,19
226,21.52536,-78.22579,10
227,34.06334,-117.65089,3
228,34.05223,-118.24368,3
229,45.694454,-93.900192,0
230,32.427908,53.688046,13
231,51.50853,-0.12574,16
232,50.50301,13.63617,25
233,21.52536,-78.22579,10
234,45.694454,-93.900192,0
235,37.562316,-121.002831,3
236,47.538569,-90.290189,0
237,33.194532,-96.579444,12
238,36.116203,-119.618564,3
239,33.729759,-111.431221,3
240,33.95335,-117.39616,3
241,36.116203,-119.618564,3
242,32.427908,53.688046,13
243,41.4995,-81.69541,5
244,41.85003,-87.65005,14
245,20.593684,78.96288,1
246,31.046051,34.851612,20
247,40.349457,-88.986137,14
248,42.230171,-71.530106,15
249,21.094318,-157.498337,21
250,40.349457,-88.986137,14
251,40.349457,-88.986137,14
252,42.230171,-71.530106,15
253,42.230171,-71.530106,15
254,38.963745,35.243322,20
255,40.78121,-73.24623,15
256,7.41251,-7.55383,8
257,54.9,-1.51667,16
258,42.230171,-71.530106,15
259,41.87194,12.56738,2
260,-14.235004,-51.92528,6
261,42.230171,-71.530106,15
262,40.349457,-88.986137,14
263,64.963051,-19.020835,16
264,30.69436,-88.04305,12
265,42.3876,-71.0995,15
266,7.41251,-7.55383,8
267,34.05223,-118.24368,3
268,32.806671,-86.79113,14
269,45.694454,-93.900192,0
270,37.33939,-121.89496,3
271,36.116203,-119.618564,3
272,36.116203,-119.618564,3
273,36.116203,-119.618564,3
274,21.52536,-78.22579,10
275,39.9075,116.39723,26
276,40.349457,-88.986137,14
277,22.40694,-79.96472,10
278,31.054487,-97.563461,12
279,42.230171,-71.530106,15
280,-12.97111,-38.51083,6
281,42.230171,-71.530106,15
282,30.58333,114.26667,26
283,38.679596,-121.902441,3
284,42.230171,-71.530106,15
285,36.116203,-119.618564,3
286,45.694454,-93.900192,0
287,42.35843,-71.05977,15
288,43.452492,-71.563896,15
289,40.463667,-3.74922,24
290,41.87194,12.56738,2
291,42.230171,-71.530106,15
292,33.95335,-117.39616,3
293,20.593684,78.96288,1
294,20.593684,78.96288,1
295,52.132633,5.291266,16
296,40.349457,-88.986137,14
297,40.298904,-74.521011,15
298,41.87194,12.56738,2
299,-25.63473,27.78022,11
300,31.046051,34.851612,20
301,33.95335,-117.39616,3
302,40.71427,-74.00597,15
303,39.73915,-104.9847,27
304,36.116203,-119.618564,3
305,50.50301,13.63617,25
306,42.25288,-71.00227,15
307,31.054487,-97.563461,12
308,25.77427,-80.19366,10
309,-0.789275,113.921327,28
310,35.33951,-97.4867,12
311,45.694454,-93.900192,0
312,47.60621,-122.33207,19
313,30.33218,-81.65565,10
314,42.230171,-71.530106,15
315,51.75222,-1.25596,16
316,36.333905,-89.485536,14
317,21.52536,-78.22579,10
318,30.26715,-97.74306,12
319,21.52536,-78.22579,10
320,36.116203,-119.618564,3
321,25.77427,-80.19366,10
322,56.130366,-106.346771,17
323,56.130366,-106.346771,17
324,21.52536,-78.22579,10
325,56.130366,-106.346771,17
326,42.230171,-71.530106,15
327,21.52536,-78.22579,10
328,42.35843,-71.05977,15
329,21.52536,-78.22579,10
330,42.230171,-71.530106,15
331,37.76521,-122.24164,3
332,35.86166,104.195397,9
333,12.879721,121.774017,18
334,47.97898,-122.20208,19
335,34.06334,-117.65089,3
336,34.06334,-117.65089,3
337,22.27832,114.17469,26
338,61.52401,105.318756,23
339,33.040619,-83.643074,5
340,36.116203,-119.618564,3
341,35.86166,104.195397,9
342,33.87529,-117.56644,3
343,42.230171,-71.530106,15
344,35.86166,104.195397,9
345,33.95335,-117.39616,3
346,39.9075,116.39723,26
347,49.8844,-97.14704,0
348,51.919438,19.145136,25
349,30.58333,114.26667,26
350,61.52401,105.318756,23
351,34.05223,-118.24368,3
352,40.66399,-74.2107,15
353,42.35843,-71.05977,15
354,22.40694,-79.96472,10
355,36.116203,-119.618564,3
356,42.35843,-71.05977,15
357,32.806671,-86.79113,14
358,25.77427,-80.19366,10
359,36.20773,-119.34734,3
360,-12.97111,-38.51083,6
361,44.016521,21.005859,2
362,36.116203,-119.618564,3
363,36.116203,-119.618564,3
364,36.116203,-119.618564,3
365,33.87529,-117.56644,3
366,34.06334,-117.65089,3
367,33.95335,-117.39616,3
368,36.333905,-89.485536,14
369,41.85003,-87.65005,14
370,37.76521,-122.24164,3
371,30.26715,-97.74306,12
372,42.35843,-71.05977,15
373,42.230171,-71.530106,15
374,30.239513,-97.69127,12
375,53.41291,-8.24389,16
376,36.116203,-119.618564,3
377,36.116203,-119.618564,3
378,21.52536,-78.22579,10
379,35.86166,104.195397,9
380,35.86166,104.195397,9
381,35.86166,104.195397,9
382,36.116203,-119.618564,3
383,45.41117,-75.69812,15
384,32.427908,53.688046,13
385,21.52536,-78.22579,10
386,32.806671,-86.79113,14
387,50.37153,-4.14305,16
388,31.046051,34.851612,20
389,54.9,-1.51667,16
390,31.054487,-97.563461,12
391,56.130366,-106.346771,17
392,42.33143,-83.04575,5
393,1.373333,32.290275,22
394,39.53491,-119.75269,3
395,40.349457,-88.986137,14
396,50.50301,13.63617,25
397,42.35843,-71.05977,15
398,37.76521,-122.24164,3
399,41.85003,-87.65005,14
